Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Djibouti,Land area (sq. km),,,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
Dominica,Land area (sq. km),,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Denmark,Land area (sq. km),,,42390,42390,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
Dominican Republic,Land area (sq. km),,,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
Algeria,Land area (sq. km),,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741,2381741
East Asia & Pacific (excluding high income),Land area (sq. km),,,15964940,15966280,15966280,15966280,15966280,15966330,15966320,15966320,15966320,15966320,15951880,15951910.2,15951370.2,15950889.7,15950770.5,15950709.8,15950820,15950870,15950660,15950650.5,15950610.7,15950640.9,15950500.9,15950431.3,15950431.3,15954126.8,16020074.9,16019785.2,16019786.9,16019786.9,16019786.9,16019786.9
Early-demographic dividend,Land area (sq. km),,,33245913,33246613,33246633,33145633,33138710,33138710,33138710,33138710,33110230,33110230,33110580,33110580,33110580,33110400,33237851.33,33237854.78,33238021.34,33238064.3,33237849.06,33238377.98,33238312.38,33238302.09,33238166.38,33238099.38,33236719.05,33251969.91,33317975.04,33317661,33317702.39,33317702.39,33317702.39,33317702.39
East Asia & Pacific,Land area (sq. km),,,24436470,24438270,24438270,24438270,24438270,24438380,24438270,24438270,24438270,24438270,24423830,24424146.2,24423662.2,24423203.7,24423107.5,24423076.8,24423222.6,24423314.2,24423179.2,24423240,24423342.4,24423364.8,24423346.8,24423394.6,24423400.6,24427111.2,24502823.4,24502555,24502428.8,24502428.8,24502428.8,24502428.8
Europe & Central Asia (excluding high income),Land area (sq. km),,,22409064,22409064,22409064,22405374,22400514,22397554,22397134,22397814,22400329,22407142,22399852,22398951,22397615,22397649,22397899,22397997,22394364,22394106,22393224,22393079,22393153,22393165,22393175,22393194,22392059,22407259,22407273,22407286,22396444.3,22396444.3,22396444.3,22396444.3
Europe & Central Asia,Land area (sq. km),,,27390035.03,27390145.03,27390185.03,27386475.03,27381655.03,27378665.03,27378334.03,27447673.03,27450147.03,27456929.03,27448989.03,27447557.03,27446860.03,27447383.03,27447432.03,27447358.03,27443074.03,27442783.03,27441352.23,27442170.83,27443589.23,27443457.03,27438149.73,27439425.19,27439564.63,27454239.96,27454601.39,27454570.07,27447886.69,27447886.69,27447886.69,27447886.69
Ecuador,Land area (sq. km),,,276840,276840,276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360
