,e_type,e_con,e_prod,GDP,Population,ei_capita,ei_gdp,pop_growth,pop_density,Manuf_GDP,Agric_GDP,Deforestation,emission_per_cap,CO2_emission
2035,1,0.02,0.02,11.03,1286.76,23.74,2.77,3.34,2.27,0.5262413,0.4992177999999999,188035.3467,0.001150175634928,1.48
2036,2,0.0,0.0,11.03,1286.76,23.74,2.77,3.34,2.27,0.5262413,0.4992177999999999,188035.3467,0.0,0.0
2037,3,0.01,0.0,11.03,1286.76,23.74,2.77,3.34,2.27,0.5262413,0.4992177999999999,188035.3467,0.0006217165594205,0.8
2038,4,0.0,0.0,11.03,1286.76,23.74,2.77,3.34,2.27,0.5262413,0.4992177999999999,188035.3467,0.0,0.0
2039,5,0.0,0.0,11.03,1286.76,23.74,2.77,3.34,2.27,0.5262413,0.4992177999999999,188035.3467,0.0,0.0
2040,0,5.86,4.03,1532.73,149336.0,39.22,3.82,1.812,17.827,349.8916044,106.7239899,5888978.2812,0.0015535436867198,232.0
2041,1,0.4,0.07,1532.73,149336.0,39.22,3.82,1.812,17.827,349.8916044,106.7239899,5888978.2812,0.000286401135694,42.77
2042,2,0.11,0.11,1532.73,149336.0,39.22,3.82,1.812,17.827,349.8916044,106.7239899,5888978.2812,4.834735094016178e-05,7.22
2043,3,3.05,1.39,1532.73,149336.0,39.22,3.82,1.812,17.827,349.8916044,106.7239899,5888978.2812,0.0012187282369957,182.0
2044,4,0.02,0.02,1532.73,149336.0,39.22,3.82,1.812,17.827,349.8916044,106.7239899,5888978.2812,0.0,0.0
2045,5,2.27,2.43,1532.73,149336.0,39.22,3.82,1.812,17.827,349.8916044,106.7239899,5888978.2812,0.0,0.0
2052,0,0.07,0.72,18.25,258.71,271.06,3.84,2.846,49.092,2.0321375,0.176295,4129.9936,0.0176645665030342,4.57
2053,1,0.0,0.0,18.25,258.71,271.06,3.84,2.846,49.092,2.0321375,0.176295,4129.9936,0.0,0.0
2054,2,0.06,0.39,18.25,258.71,271.06,3.84,2.846,49.092,2.0321375,0.176295,4129.9936,0.0141857678481697,3.67
2055,3,0.01,0.34,18.25,258.71,271.06,3.84,2.846,49.092,2.0321375,0.176295,4129.9936,0.0034787986548645,0.9
2056,4,0.0,0.0,18.25,258.71,271.06,3.84,2.846,49.092,2.0321375,0.176295,4129.9936,0.0,0.0
2057,5,0.0,0.0,18.25,258.71,271.06,3.84,2.846,49.092,2.0321375,0.176295,4129.9936,0.0,0.0
2064,0,0.01,0.0,8.07,8811.03,0.79,0.86,2.659,32.204,1.1902443,2.255565,77166.144,5.674705454413388e-05,0.5
2065,1,0.0,0.0,8.07,8811.03,0.79,0.86,2.659,32.204,1.1902443,2.255565,77166.144,0.0,0.0
2066,2,0.0,0.0,8.07,8811.03,0.79,0.86,2.659,32.204,1.1902443,2.255565,77166.144,0.0,0.0
2067,3,0.01,0.0,8.07,8811.03,0.79,0.86,2.659,32.204,1.1902443,2.255565,77166.144,5.674705454413388e-05,0.5
2068,4,0.0,0.0,8.07,8811.03,0.79,0.86,2.659,32.204,1.1902443,2.255565,77166.144,0.0,0.0
2069,5,0.0,0.0,8.07,8811.03,0.79,0.86,2.659,32.204,1.1902443,2.255565,77166.144,0.0,0.0
2076,0,0.01,0.0,5.79,5438.96,1.0,0.94,2.455,211.797,0.684378,2.9562003,2764.7088000000003,5.515760365952314e-05,0.3
2077,1,0.0,0.0,5.79,5438.96,1.0,0.94,2.455,211.797,0.684378,2.9562003,2764.7088000000003,0.0,0.0
2078,2,0.0,0.0,5.79,5438.96,1.0,0.94,2.455,211.797,0.684378,2.9562003,2764.7088000000003,0.0,0.0
2079,3,0.0,0.0,5.79,5438.96,1.0,0.94,2.455,211.797,0.684378,2.9562003,2764.7088000000003,5.515760365952314e-05,0.3
2080,4,0.0,0.0,5.79,5438.96,1.0,0.94,2.455,211.797,0.684378,2.9562003,2764.7088000000003,0.0,0.0
2081,5,0.0,0.0,5.79,5438.96,1.0,0.94,2.455,211.797,0.684378,2.9562003,2764.7088000000003,0.0,0.0
2082,0,0.0,0.0,0.91,337.95,3.47,1.28,2.024,83.859,0.1147328,0.1309581,153.7848,0.0002663115845539,0.09
2083,1,0.0,0.0,0.91,337.95,3.47,1.28,2.024,83.859,0.1147328,0.1309581,153.7848,0.0,0.0
2084,2,0.0,0.0,0.91,337.95,3.47,1.28,2.024,83.859,0.1147328,0.1309581,153.7848,0.0,0.0
2085,3,0.0,0.0,0.91,337.95,3.47,1.28,2.024,83.859,0.1147328,0.1309581,153.7848,0.0002663115845539,0.09
